item_name,quantity,date,total_price
Blueberry Muffin,5,2024-07-24,31.7
Classic Espresso,3,2024-07-16,21.36
Caramel Macchiato,5,2024-07-01,24.6
Blueberry Muffin,4,2024-07-11,28.56
Avocado Toast,4,2024-07-26,24.68
Avocado Toast,3,2024-07-03,11.22
Green Tea,1,2024-07-04,6.73
Green Tea,2,2024-07-07,9.84
Green Tea,5,2024-07-09,19.15
Classic Espresso,2,2024-07-18,5.74
Caramel Macchiato,1,2024-07-18,4.17
Caramel Macchiato,4,2024-07-15,19.84
Avocado Toast,5,2024-07-29,32.55
Caramel Macchiato,5,2024-07-18,37.0
Avocado Toast,3,2024-07-02,9.33
Classic Espresso,3,2024-06-30,8.13
Blueberry Muffin,4,2024-07-28,12.6
Green Tea,3,2024-07-09,10.17
Caramel Macchiato,4,2024-07-12,21.48
Avocado Toast,3,2024-07-24,19.8
Green Tea,3,2024-07-11,11.58
Caramel Macchiato,3,2024-07-12,18.72
Green Tea,5,2024-07-20,31.1
Avocado Toast,1,2024-07-23,6.42
Green Tea,4,2024-07-14,27.6
Blueberry Muffin,2,2024-07-01,6.0
Caramel Macchiato,2,2024-07-30,7.1
Blueberry Muffin,2,2024-07-22,8.08
Avocado Toast,3,2024-07-09,11.58
Avocado Toast,2,2024-07-25,5.18
Classic Espresso,1,2024-07-10,7.33
Caramel Macchiato,5,2024-07-01,25.45
Classic Espresso,5,2024-07-02,25.75
Blueberry Muffin,3,2024-07-03,12.24
Avocado Toast,3,2024-07-22,8.04
Green Tea,3,2024-07-04,20.13
Green Tea,2,2024-07-03,14.58
Avocado Toast,2,2024-07-20,6.7
Avocado Toast,1,2024-07-21,3.13
Classic Espresso,3,2024-07-09,18.33
Classic Espresso,3,2024-07-16,12.51
Avocado Toast,3,2024-07-12,19.44
Caramel Macchiato,4,2024-07-06,19.2
Classic Espresso,4,2024-07-13,21.08
Classic Espresso,4,2024-07-28,17.56
Blueberry Muffin,1,2024-07-13,5.84
Blueberry Muffin,3,2024-07-09,22.02
Green Tea,4,2024-07-24,29.84
Green Tea,5,2024-07-13,17.55
Blueberry Muffin,2,2024-07-08,10.76
Green Tea,5,2024-07-30,12.5
Blueberry Muffin,5,2024-07-19,12.75
Blueberry Muffin,2,2024-07-19,9.76
Avocado Toast,1,2024-07-28,6.02
Caramel Macchiato,1,2024-07-11,6.16
Avocado Toast,1,2024-07-04,3.03
Caramel Macchiato,5,2024-07-04,22.5
Caramel Macchiato,4,2024-07-13,24.08
Green Tea,5,2024-07-14,19.3
Caramel Macchiato,4,2024-07-28,25.48
Green Tea,5,2024-07-04,13.35
Caramel Macchiato,1,2024-07-13,3.9
Blueberry Muffin,5,2024-07-20,33.85
Classic Espresso,4,2024-07-17,11.6
Avocado Toast,1,2024-07-03,4.22
Avocado Toast,1,2024-07-10,5.51
Classic Espresso,4,2024-07-16,29.28
Classic Espresso,4,2024-07-20,20.44
Caramel Macchiato,2,2024-07-09,5.26
Green Tea,2,2024-07-09,9.7
Blueberry Muffin,1,2024-07-07,6.7
Classic Espresso,2,2024-07-08,11.12
Blueberry Muffin,1,2024-07-30,3.39
Avocado Toast,5,2024-07-21,20.85
Caramel Macchiato,3,2024-07-20,9.84
Classic Espresso,1,2024-06-30,6.85
Green Tea,5,2024-07-11,15.05
Avocado Toast,3,2024-07-21,20.4
Blueberry Muffin,4,2024-07-22,19.6
Avocado Toast,4,2024-07-10,11.04
Classic Espresso,1,2024-06-30,6.88
Blueberry Muffin,5,2024-07-13,24.8
Avocado Toast,4,2024-07-04,27.72
Avocado Toast,2,2024-07-12,12.92
Caramel Macchiato,2,2024-07-22,10.14
Caramel Macchiato,4,2024-07-29,29.84
Green Tea,3,2024-07-19,11.58
Classic Espresso,1,2024-07-07,3.85
Classic Espresso,3,2024-07-15,21.66
Classic Espresso,5,2024-07-04,20.2
Avocado Toast,4,2024-07-11,20.2
Classic Espresso,2,2024-07-24,9.78
Classic Espresso,1,2024-07-10,2.74
Green Tea,1,2024-07-08,7.04
Blueberry Muffin,2,2024-07-04,11.02
Classic Espresso,5,2024-07-07,16.05
Green Tea,3,2024-07-20,12.33
Caramel Macchiato,3,2024-07-09,18.3
Avocado Toast,1,2024-07-11,4.41
Blueberry Muffin,5,2024-07-19,30.6
